people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8952,"Charles Rangel",Charles,B.,Rangel,,,1,D,1,Rep,HD-NY-13,9654369,26979,N00000964,Charles_Rangel,158984,0
8955,"Nydia Velazquez",Nydia,M.,Velazquez,,,1,D,1,Rep,HD-NY-7,17658223,26975,N00001102,Nydia_Velazquez,158981,0
8957,"Frank Pallone",Frank,,Pallone,Jr.,,1,D,1,Rep,HD-NJ-6,17658803,26951,N00000781,Frank_Pallone,158957,0
8962,"Lois Capps",Lois,,Capps,,,1,D,1,Rep,HD-CA-24,16563796,16886,N00007232,Lois_Capps,158739,0
8963,"Kathy Castor",Kathy,,Castor,,,1,D,1,Rep,HD-FL-14,170335,53825,N00027514,Kathy_Castor,248289,0
8964,"Gerald Connolly",Gerald,E.,Connolly,,Gerry,1,D,1,Rep,HD-VA-11,16577898,95078,N00029891,Gerald_Connolly,267105,0
8965,"Henry Cuellar",Henry,,Cuellar,,,1,D,1,Rep,HD-TX-28,6443275,5486,N00024978,Henry_Cuellar,199164,0
8967,"Diana DeGette",Diana,,DeGette,,,1,D,1,Rep,HD-CO-1,6006202,561,N00006134,Diana_DeGette,158770,0
8970,"Eliot Engel",Eliot,L.,Engel,,,1,D,1,Rep,HD-NY-16,17658812,26972,N00001003,Eliot_Engel,158986,0
8971,"Anna Eshoo",Anna,G.,Eshoo,,,1,D,1,Rep,HD-CA-18,8050793,26741,N00007335,Anna_Eshoo,158731,0
8972,"Bill Foster",Bill,,Foster,,,1,D,1,Rep,HD-IL-11,16623751,101632,N00029139,Bill_Foster,263138,0
8973,"Gene Green",Gene,,Green,,,1,D,1,Rep,HD-TX-29,11053772,27100,N00005870,Gene_Green,159099,0
8975,"Ruben Hinojosa",Ruben,,Hinojosa,,,1,D,1,Rep,HD-TX-15,17658725,291,N00006008,Ruben_Hinojosa_(Texas_congressman),159085,0
8976,"Henry Johnson",Henry,C.,Johnson,Jr.,Hank,1,D,1,Rep,HD-GA-4,17658662,68070,N00027848,Hank_Johnson,248293,0
8979,"Ben Lujan",Ben,Ray,Lujan,,,1,D,1,Rep,HD-NM-3,9025644,102842,N00029562,"Ben_Lujan,_Sr.",266495,0
8981,"Edward Markey",Edward,J.,Markey,,,1,D,2,Sen,HD-MA-5,17658675,26900,N00000270,Edward_Markey,158881,0
8983,"Doris Matsui",Doris,O.,Matsui,,,1,D,1,Rep,HD-CA-6,17658638,28593,N00027459,Doris_Matsui,232639,0
8985,"Jerry McNerney",Jerry,,McNerney,,,1,D,1,Rep,HD-CA-9,6643414,29474,N00026926,Jerry_McNerney,248236,0
8986,"Christopher Murphy",Christopher,S.,Murphy,,,1,D,2,Sen,HD-CT-5,6384200,17189,N00027566,Chris_Murphy_(Connecticut),193324,0
8987,"Bill Pascrell",Bill,,Pascrell,Jr.,,1,D,1,Rep,HD-NJ-9,16580040,478,N00000751,Bill_Pascrell,158959,0
8988,"Janice Schakowsky",Janice,D.,Schakowsky,,,1,D,1,Rep,HD-IL-9,6419995,6387,N00004724,Jan_Schakowsky,158836,0
8989,"Brad Sherman",Brad,,Sherman,,,1,D,1,Rep,HD-CA-30,369166,142,N00006897,Brad_Sherman,158741,0
8994,"Niki Tsongas",Niki,,Tsongas,,,1,D,1,Rep,HD-MA-3,17658789,89417,N00029026,Niki_Tsongas,259708,0
8995,"Debbie Wasserman Schultz",Debbie,,"Wasserman Schultz",,,1,D,1,Rep,HD-FL-23,704716,24301,N00026106,Debbie_Wasserman_Schultz,226499,0
8997,"Peter Welch",Peter,,Welch,,,1,D,1,Rep,HD-VT,9959484,51272,N00000515,Peter_Welch,210068,0
9004,"Tammy Baldwin",Tammy,,Baldwin,,,1,D,2,Sen,HD-WI-2,2924660,3470,N00004367,Tammy_Baldwin,159127,0
